2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=CPF_DETAIL msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='6'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=TUTORIA_SELECT msg='1'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=TUTORIA_DETAIL msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='7'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=SOE msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='8'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=RESIDENCIA_SELECT msg='5'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=RESIDENCIA_DETAIL msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='9'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=FAQ_MENU msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='10'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=EMERGENCY msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='5'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=CPF_SELECT msg='1'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=CPF_DETAIL msg='voltar'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=CPF_SELECT msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='cpf'
2026-07-05 11:49:57 | INFO     | services.keyword_service | [KEYWORD] Correspondência: 'cpf' → opção 5
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=CPF_SELECT msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='moodle'
2026-07-05 11:49:57 | INFO     | services.keyword_service | [KEYWORD] Correspondência: 'moodle' → opção 2
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=SYSTEMS_ACCESS_MENU msg='menu'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-9ce4b00d041d estado=MAIN_MENU msg='sair'
2026-07-05 11:49:57 | INFO     | services.session_service | [SESSÃO] Encerrada: user=anon-9ce4b00d041d
2026-07-05 11:49:57 | INFO     | services.session_service | [SESSÃO] Nova sessão: user=anon-de97b0352610 plataforma=telegram
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=telegram user=anon-de97b0352610 estado=WELCOME msg='start'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=telegram user=anon-de97b0352610 estado=WELCOME msg='2'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=telegram user=anon-de97b0352610 estado=MAIN_MENU msg='5'
2026-07-05 11:49:57 | INFO     | services.bot_service | [MSG] plataforma=telegram user=anon-de97b0352610 estado=CPF_SELECT msg='2'
2026-07-05 11:52:00 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-05 11:57:04 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-05 12:00:06 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-05 12:00:06 | INFO     | utils.network_info | [REDE] origem=None:desconhecida destino=192.168.1.31:80 protocolo=TCP
2026-07-05 12:00:06 | INFO     | controllers.whatsapp_controller | [WHATSAPP] De: anon-49e554da295e | Mensagem: 'oi'
2026-07-05 12:00:06 | INFO     | services.session_service | [SESSÃO] Nova sessão: user=anon-49e554da295e plataforma=whatsapp
2026-07-05 12:00:06 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-49e554da295e estado=WELCOME msg='oi'
2026-07-05 12:00:06 | INFO     | utils.network_info | [REDE] origem=None:desconhecida destino=192.168.1.31:80 protocolo=TCP
2026-07-05 12:00:06 | INFO     | controllers.whatsapp_controller | [WHATSAPP] De: anon-49e554da295e | Mensagem: '1'
2026-07-05 12:00:06 | INFO     | services.bot_service | [MSG] plataforma=whatsapp user=anon-49e554da295e estado=WELCOME msg='1'
2026-07-05 12:00:06 | INFO     | utils.network_info | [REDE] origem=None:desconhecida destino=192.168.1.31:80 protocolo=TCP
2026-07-05 12:00:06 | INFO     | controllers.web_controller | [WEB] user=anon-b20fa52027ff msg='oi'
2026-07-05 12:00:06 | INFO     | services.session_service | [SESSÃO] Nova sessão: user=anon-b20fa52027ff plataforma=web
2026-07-05 12:00:06 | INFO     | services.bot_service | [MSG] plataforma=web user=anon-b20fa52027ff estado=WELCOME msg='oi'
